n,time
1,3.51e-08
2,4.08e-08
4,9.76e-08
8,4.124e-07
16,2.96639e-06
32,1.82806e-05
64,0.000187029
128,0.00501666
256,0.0619191
512,0.518875
1024,12.7872
1536,35.1855
2048,128.398
2560,204.752
3072,428.634
