Array Size ,Bandwidth (GB/s)
10,  28.547
20,  26.1595
30,  29.28
40,  27.9458
60,  29.3786
70,  33.2828
100, 30.7264
120, 30.4647
130, 32.1418
150, 32.6221
180, 32.2049
200, 27.8315
220, 30.7026
250, 32.7036
280, 28.7104
300, 30.8602
400, 24.2438
500, 29.7187
750, 22.3505
850, 22.2923
900, 18.0451
1000,14.7539
1300,12.5045
1500,10.9475
1900,10.3172
2300,10.1182
2700,10.1019
2800,7.17658
2900,10.0312
3000,10.3651
