Array Size ,Bandwidth (GB/s)
100,45.1118
200,43.8776
300,44.5478
400,44.5155
500,44.3197
600,43.7583
700,39.0382
800,37.0637
900,38.1692
1000,34.0437
1100,35.2687
1200,30.5739
1300,28.7902
1400,27.143
1500,25.0021
1600,19.5617
1700,24.3205
1800,24.128
1900,23.4964
2000,22.1444
2100,22.6476
2200,23.6544
2300,23.8782
2400,22.2554
2500,22.8137
2600,22.4808
2700,22.7581
2800,22.0047
2900,23.0258
