Array Size ,Bandwidth (GB/s)
10,28.6781
20,26.1113
30,27.9253
40,28.0979
60,25.9498
70,29.1674
100,27.0395
120,29.7988
130,26.7603
150,26.7044
180,21.13
200,27.2312
220,22.3299
250,22.8519
280,27.2367
300,21.8827
400,13.2031
500,15.9906
750,14.0097
850,14.1022
900,13.234
1000,14.0864
1300,10.6967
1500,9.14836
1900,9.09986
2300,9.00946
2700,7.56253
2800,5.26395
2900,7.57288
3000,8.62821
