processor name,	cores,	frequency,	generation	
i3-13100T,	4,	2.50,	13th
i9-12900KS,	16,	(3.40:2.50),	12th
i9-12900K,	16,	(3.20:2.40),	12th
i9-12900KF,	16,	(3.20:2.40),	12th
i9-12900F,	16,	(2.40:1.80),	12th
i9-12900,	16,	(2.40:1.80),	12th
i7-12700,	12,	(2.10:1.60),	12th
i7-12700F,	12,	(2.10:1.60),	12th
i9-12900T,	16,	(1.40:1.00),	12th
i7-12700K,	12,	(3.60:2.70),	12th
i7-12700KF,	12,	(3.60:2.70),	12th
i5-12600,	6,	3.30,	12th
i5-12400,	6,	2.50,	12th
i5-12400F,	6,	2.50,	12th
i7-12700T,	12,	(1.40:1.00),	12th
i5-12400T,	6,	1.80,	12th
i5-12500,	6,	3.00,	12th
i5-12500T,	6,	2.00,	12th
i5-12600K,	10,	(3.70:2.80),	12th
i5-12600KF,	10,	(3.70:2.80),	12th
i3-12300,	4,	3.50,	12th
i3-12100,	4,	3.30,	12th
i3-12100F,	4,	3.30,	12th
i5-12600T,	6,	2.10,	12th
i3-12300T,	4,	2.30,	12th
i3-12100T,	4,	2.20,	12th
i7-11700,	8,	2.50,	11th
i9-11900T,	8,	1.50,	11th
i9-11900KF,	8,	3.50,	11th
i9-11900K,	8,	3.50,	11th
i9-11900F,	8,	2.50,	11th
i9-11900,	8,	2.50,	11th
i7-11700T,	8,	1.40,	11th
i7-11700KF,	8,	3.60,	11th
i7-11700K,	8,	3.60,	11th
i7-11700F,	8,	2.50,	11th
i5-11600T,	6,	1.70,	11th
i5-11600KF,	6,	3.90,	11th
i5-11600K,	6,	3.90,	11th
i5-11600,	6,	2.80,	11th
i5-11500T,	6,	1.50,	11th
i5-11500,	6,	2.70,	11th
i5-11400F,	6,	2.60,	11th
i3-10325,	4,	3.90,	10th
i3-10305T,	4,	3.00,	10th
i3-10305,	4,	3.80,	10th
i3-10105T,	4,	3.00,	10th
i3-10105,	4,	3.70,	10th
i3-10105F,	4,	3.70,	10th
i3-10100F,	4,	3.60,	10th
i9-10850K,	10,	3.60,	10th
i9-10900T,	10,	1.90,	10th
i9-10900KF,	10,	3.70,	10th
i9-10900K,	10,	3.70,	10th
i9-10900F,	10,	2.80,	10th
i9-10900,	10,	2.80,	10th
i7-10700T,	8,	2.00,	10th
i7-10700KF,	8,	3.80,	10th
i7-10700K,	8,	3.80,	10th
i7-10700F,	8,	2.90,	10th
i7-10700,	8,	2.90,	10th
i5-10600T,	6,	2.40,	10th
i5-10600KF,	6,	4.10,	10th
i5-10600K,	6,	4.10,	10th
i5-10600,	6,	3.30,	10th
i5-10500T,	6,	2.30,	10th
i5-10500,	6,	3.10,	10th
i5-10400T,	6,	2.00,	10th
i5-10400F,	6,	2.90,	10th
i5-10400,	6,	2.90,	10th
i3-10320,	4,	3.80,	10th
i3-10300T,	4,	3.00,	10th
i3-10300,	4,	3.70,	10th
i3-10100T,	4,	3.00,	10th
i3-10100,	4,	3.60,	10th
i9-9900KS,	8,	4.00,	9th
i9-10980XE,	18,	3.00,	X-series
